#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Burkholderia thailandensis E264","Bacteria;Proteobacteria;Betaproteobacteria","E264; ATCC 700388","SAMN02604021","PRJNA10774","GCA_000012365.1","Complete",6.72397,67.6468,"chromosome I:NC_007651.1/CP000086.1; chromosome II:NC_007650.1/CP000085.1",,2,5656,"2005-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/365/GCA_000012365.1_ASM1236v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/365/GCF_000012365.1_ASM1236v1"
"Burkholderia thailandensis E264","Bacteria;Proteobacteria;Betaproteobacteria","E264","SAMN02866398","PRJNA244539","GCA_003568605.1","Complete",6.7221,67.6,"chromosome 1:NZ_CP008785.1/CP008785.1; chromosome 2:NZ_CP008786.1/CP008786.1",,2,5595,"2014-09-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/568/605/GCA_003568605.1_ASM356860v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/568/605/GCF_003568605.1_ASM356860v1"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_426","SAMN07312470","PRJNA231221","GCA_002386205.1","Complete",6.72985,67.4694,"chromosome 1:NZ_CP023499.1/CP023499.1; chromosome 2:NZ_CP023498.1/CP023498.1",,2,5898,"2017-09-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/386/205/GCA_002386205.1_ASM238620v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/386/205/GCF_002386205.1_ASM238620v1"
"Burkholderia thailandensis MSMB121","Bacteria;Proteobacteria;Betaproteobacteria","MSMB121","SAMN02603567","PRJNA178701","GCA_000385525.1","Complete",6.73138,67.5106,"chromosome 1:NC_021173.1/CP004095.1; chromosome 2:NC_021174.1/CP004096.1",,2,5745,"2013-04-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/525/GCA_000385525.1_ASM38552v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/525/GCF_000385525.1_ASM38552v1"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","MSMB59","SAMN03449259","PRJNA279182","GCA_001718595.1","Complete",6.73953,67.6606,"chromosome 1:NZ_CP013407.1/CP013407.1; chromosome 2:NZ_CP013408.1/CP013408.1",,2,5730,"2016-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/595/GCA_001718595.1_ASM171859v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/595/GCF_001718595.1_ASM171859v1"
"Burkholderia thailandensis MSMB59","Bacteria;Proteobacteria;Betaproteobacteria","MSMB59","SAMN03097425","PRJNA178997","GCA_000764595.1","Complete",6.7395,67.6608,"chromosome 1:NZ_CP004385.1/CP004385.1; chromosome 2:NZ_CP004386.1/CP004386.1",,2,5723,"2014-10-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/764/595/GCA_000764595.1_ASM76459v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/764/595/GCF_000764595.1_ASM76459v1"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","2002721643","SAMN04196788","PRJNA279182","GCA_001718635.1","Complete",6.95026,67.4985,"chromosome 1:NZ_CP013411.1/CP013411.1; chromosome 2:NZ_CP013413.1/CP013413.1; plasmid p2002721643:NZ_CP013412.1/CP013412.1",,3,5901,"2016-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/635/GCA_001718635.1_ASM171863v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/635/GCF_001718635.1_ASM171863v1"
"Burkholderia thailandensis 34","Bacteria;Proteobacteria;Betaproteobacteria","34","SAMN02697330","PRJNA178704","GCA_000959605.1","Complete",7.1202,67.4379,"chromosome 1:NZ_CP010017.1/CP010017.1; chromosome 2:NZ_CP010018.1/CP010018.1; plasmid unnamed:NZ_CP010016.1/CP010016.1",,3,5991,"2015-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/605/GCA_000959605.1_ASM95960v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/959/605/GCF_000959605.1_ASM95960v1"
"Burkholderia thailandensis USAMRU Malaysia #20","Bacteria;Proteobacteria;Betaproteobacteria","USAMRU Malaysia #20","SAMN02850988","PRJNA178714","GCA_000706745.1","Complete",6.68436,67.6643,"chromosome 1:NZ_CP004383.1/CP004383.1; chromosome 2:NZ_CP004384.1/CP004384.1",,2,5580,"2014-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/706/745/GCA_000706745.1_ASM70674v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/706/745/GCF_000706745.1_ASM70674v1"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_241","SAMN05004750","PRJNA231221","GCA_003614815.1","Complete",6.68412,67.6643,"chromosome 1:NZ_CP022214.1/CP022214.1; chromosome 2:NZ_CP022215.1/CP022215.1",,2,5768,"2018-07-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/614/815/GCA_003614815.1_ASM361481v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/614/815/GCF_003614815.1_ASM361481v1"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_238","SAMN05004747","PRJNA231221","GCA_003020185.1","Complete",6.76865,67.7476,"chromosome 1:NZ_CP020392.1/CP020392.1; chromosome 2:NZ_CP020391.1/CP020391.1",,2,5943,"2018-03-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/020/185/GCA_003020185.1_ASM302018v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/020/185/GCF_003020185.1_ASM302018v1"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","2002721121","SAMN04196786","PRJNA279182","GCA_001718615.1","Complete",6.76793,67.7475,"chromosome 1:NZ_CP013409.1/CP013409.1; chromosome 2:NZ_CP013410.1/CP013410.1",,2,5642,"2016-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/615/GCA_001718615.1_ASM171861v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/615/GCF_001718615.1_ASM171861v1"
"Burkholderia thailandensis H0587","Bacteria;Proteobacteria;Betaproteobacteria","H0587","SAMN03081448","PRJNA178703","GCA_000567905.1","Complete",6.76837,67.7476,"chromosome 1:NZ_CP004089.1/CP004089.1; chromosome 2:NZ_CP004090.1/CP004090.1",,2,5672,"2014-02-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/567/905/GCA_000567905.1_ASM56790v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/567/905/GCF_000567905.1_ASM56790v1"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_237","SAMN05004746","PRJNA231221","GCA_003020025.1","Complete",6.67281,67.6848,"chromosome 1:NZ_CP020390.1/CP020390.1; chromosome 2:NZ_CP020389.1/CP020389.1",,2,5928,"2018-03-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/020/025/GCA_003020025.1_ASM302002v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/020/025/GCF_003020025.1_ASM302002v1"
"Burkholderia thailandensis 2002721643","Bacteria;Proteobacteria;Betaproteobacteria","2002721643","SAMN03085865","PRJNA238545","GCA_000959425.1","Complete",6.7228,67.6469,"chromosome I:NZ_CP009601.1/CP009601.1; chromosome II:NZ_CP009602.1/CP009602.1",,2,5615,"2015-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/425/GCA_000959425.1_ASM95942v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/959/425/GCF_000959425.1_ASM95942v1"
"Burkholderia thailandensis E254","Bacteria;Proteobacteria;Betaproteobacteria","E254","SAMN03097424","PRJNA178705","GCA_000765375.1","Complete",6.67673,67.687,"chromosome 1:NZ_CP004381.1/CP004381.1; chromosome 2:NZ_CP004382.1/CP004382.1",,2,5555,"2014-10-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/375/GCA_000765375.1_ASM76537v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/765/375/GCF_000765375.1_ASM76537v1"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_242","SAMN05004751","PRJNA231221","GCA_003614835.1","Complete",6.65331,67.6858,"chromosome 1:NZ_CP022217.1/CP022217.1; chromosome 2:NZ_CP022216.1/CP022216.1",,2,5820,"2018-07-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/614/835/GCA_003614835.1_ASM361483v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/614/835/GCF_003614835.1_ASM361483v1"
"Burkholderia thailandensis E444","Bacteria;Proteobacteria;Betaproteobacteria","E444","SAMN03081450","PRJNA178702","GCA_000567945.1","Complete",6.6517,67.6859,"chromosome 1:NZ_CP004117.1/CP004117.1; chromosome 2:NZ_CP004118.1/CP004118.1",,2,5818,"2014-02-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/567/945/GCA_000567945.1_ASM56794v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/567/945/GCF_000567945.1_ASM56794v1"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","2003015869","SAMN03449126","PRJNA279182","GCA_001718295.1","Complete",6.729,67.6527,"chromosome 1:NZ_CP013360.1/CP013360.1; chromosome 2:NZ_CP013361.1/CP013361.1",,2,5708,"2016-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/295/GCA_001718295.1_ASM171829v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/295/GCF_001718295.1_ASM171829v1"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","2003015869","SAMN02904338","PRJNA244538","GCA_000808035.2","Complete",6.72912,67.6527,"chromosome 1:NZ_CP008914.2/CP008914.2; chromosome 2:NZ_CP008915.2/CP008915.2",,2,5665,"2014-09-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/808/035/GCA_000808035.2_ASM80803v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/808/035/GCF_000808035.2_ASM80803v2"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","BPM","SAMN14351735","PRJNA611888","GCA_011578485.1","Complete",6.60126,67.8049,"chromosome 1:NZ_CP050020.1/CP050020.1; chromosome 2:NZ_CP050021.1/CP050021.1",,2,5499,"2020-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/578/485/GCA_011578485.1_ASM1157848v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/578/485/GCF_011578485.1_ASM1157848v1"
"Burkholderia thailandensis 2002721723","Bacteria;Proteobacteria;Betaproteobacteria","2002721723","SAMN03081449","PRJNA177185","GCA_000567925.1","Complete",6.57713,67.5432,"chromosome 1:NZ_CP004097.1/CP004097.1; chromosome 2:NZ_CP004098.1/CP004098.1",,2,5545,"2014-02-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/567/925/GCA_000567925.1_ASM56792v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/567/925/GCF_000567925.1_ASM56792v1"
