#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date
"Burkholderia pseudomallei 1026b","Bacteria;Proteobacteria;Betaproteobacteria","1026b","SAMN02604257","PRJNA52063","GCA_000260515.1","Complete",7.23142,68.1604,"chromosome 1:NC_017831.1/CP002833.1; chromosome 2:NC_017832.1/CP002834.1",,2,6150,"2012-04-30T00:00:00Z"
"Burkholderia pseudomallei 1026b","Bacteria;Proteobacteria;Betaproteobacteria","1026b","SAMN03097397","PRJNA178698","GCA_000959125.1","Complete",7.23767,68.1608,"chromosome 1:NZ_CP004379.1/CP004379.1; chromosome 2:NZ_CP004380.1/CP004380.1",,2,6130,"2015-03-20T00:00:00Z"
"Burkholderia pseudomallei 1106a","Bacteria;Proteobacteria;Betaproteobacteria","1106a","SAMN02604046","PRJNA16182","GCA_000015925.1","Complete",7.08925,68.2624,"chromosome I:NC_009076.1/CP000572.1; chromosome II:NC_009078.1/CP000573.1",,2,6285,"2007-02-27T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","1106a","SAMN02864954","PRJNA244406","GCA_000756145.1","Complete",7.08643,68.2627,"chromosome 1:NZ_CP008758.1/CP008758.1; chromosome 2:NZ_CP008759.1/CP008759.1",,2,5940,"2014-09-18T00:00:00Z"
"Burkholderia pseudomallei 1106b","Bacteria;Proteobacteria;Betaproteobacteria","1106b","SAMN02435836","PRJNA16181","GCA_000193475.1"," Chromosome",7.21653,68.1867,"chromosome I:NZ_CM000774.1/CM000774.1; chromosome II:NZ_CM000775.1/CM000775.1","AAMB02",84,6358,"2005-11-17T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","11","SAMN03079578","PRJNA238562","GCA_000959405.1","Complete",5.91313,68.5184,"chromosome I:NZ_CP009587.1/CP009587.1; chromosome II:NZ_CP009588.1/CP009588.1",,2,4965,"2015-03-20T00:00:00Z"
"Ralstonia pickettii 12D","Bacteria;Proteobacteria;Betaproteobacteria","12D","SAMN00000034","PRJNA18937","GCA_000023425.1","Complete",5.68536,63.3352,"chromosome 1:NC_012856.1/CP001644.1; chromosome 2:NC_012857.1/CP001645.1; plasmid pRp12D01:NC_012855.1/CP001646.1; plasmid pRp12D02:NC_012849.1/CP001647.1; plasmid pRp12D03:NC_012851.1/CP001648.1",,5,5246,"2009-06-22T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","14M0960418","SAMN05762138","PRJNA342555","GCA_002860065.1","Complete",7.22224,68.1467,"chromosome 1:NZ_CP019042.1/CP019042.1; chromosome 2:NZ_CP019043.1/CP019043.1",,2,6404,"2018-01-04T00:00:00Z"
"Burkholderia pseudomallei 1710a","Bacteria;Proteobacteria;Betaproteobacteria","1710a","SAMN02435894","PRJNA13950","GCA_000193455.1"," Chromosome",7.33608,67.9398,"chromosome I:NZ_CM000832.1/CM000832.1; chromosome II:NZ_CM000833.1/CM000833.1","AAHS03",40,6439,"2005-06-09T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","2000031063","SAMN02849482","PRJNA244043","GCA_000756025.2","Complete",5.87493,68.5161,"chromosome 1:NZ_CP008732.1/CP008732.2; chromosome 2:NZ_CP008731.1/CP008731.2",,2,4919,"2014-09-18T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2002721100","SAMN06007554","PRJNA352974","GCA_002111065.1"," Chromosome",7.34795,67.92,"chromosome 1:NZ_CP018367.1/CP018367.1; chromosome 2:NZ_CP018368.1/CP018368.1",,2,6958,"2017-04-26T00:00:00Z"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","2002721121","SAMN04196786","PRJNA279182","GCA_001718615.1","Complete",6.76793,67.7475,"chromosome 1:NZ_CP013409.1/CP013409.1; chromosome 2:NZ_CP013410.1/CP013410.1",,2,5642,"2016-09-02T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2002721123","SAMN06007555","PRJNA352974","GCA_002111325.1","Complete",7.23549,68.0104,"chromosome 1:NZ_CP018369.1/CP018369.1; chromosome 2:NZ_CP018370.1/CP018370.1",,2,6403,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2002721171","SAMN06007556","PRJNA352974","GCA_002111345.1","Complete",7.19114,68.1061,"chromosome 1:NZ_CP018371.1/CP018371.1; chromosome 2:NZ_CP018372.1/CP018372.1",,2,6877,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2002721184","SAMN06007557","PRJNA352974","GCA_002111085.1","Complete",7.38214,67.9208,"chromosome 1:NZ_CP018373.1/CP018373.1; chromosome 2:NZ_CP018374.1/CP018374.1",,2,6530,"2017-04-26T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","2002721276","SAMN03222861","PRJNA238935","GCA_000959625.1","Complete",5.78044,68.5097,"chromosome 1:NZ_CP010065.1/CP010065.1; chromosome 2:NZ_CP010066.1/CP010066.1",,2,4854,"2015-03-20T00:00:00Z"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","2002721643","SAMN04196788","PRJNA279182","GCA_001718635.1","Complete",6.95026,67.4985,"chromosome 1:NZ_CP013411.1/CP013411.1; chromosome 2:NZ_CP013413.1/CP013413.1; plasmid p2002721643:NZ_CP013412.1/CP013412.1",,3,5901,"2016-09-02T00:00:00Z"
