#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Burkholderia multivorans ATCC BAA-247","Bacteria;Proteobacteria;Betaproteobacteria","ATCC BAA-247","SAMN03140189","PRJNA264318","GCA_000959525.1","Complete",6.32275,67.2008,"chromosome 1:NZ_CP009832.1/CP009832.1; chromosome 2:NZ_CP009831.1/CP009831.1; chromosome 3:NZ_CP009830.1/CP009830.1",,3,5641,"2015-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/525/GCA_000959525.1_ASM95952v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/959/525/GCF_000959525.1_ASM95952v1"
"Burkholderia multivorans","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_622","SAMN11056337","PRJNA231221","GCA_008693525.1","Complete",6.47864,67.1239,"chromosome 1:NZ_CP044056.1/CP044056.1; chromosome 2:NZ_CP044057.1/CP044057.1; chromosome 3:NZ_CP044058.1/CP044058.1",,3,5916,"2019-09-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/693/525/GCA_008693525.1_ASM869352v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/525/GCF_008693525.1_ASM869352v1"
"Burkholderia multivorans","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_623","SAMN11056338","PRJNA231221","GCA_008693485.1","Complete",6.47862,67.1239,"chromosome 1:NZ_CP044053.1/CP044053.1; chromosome 2:NZ_CP044054.1/CP044054.1; chromosome 3:NZ_CP044055.1/CP044055.1",,3,5918,"2019-09-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/693/485/GCA_008693485.1_ASM869348v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/485/GCF_008693485.1_ASM869348v1"
"Burkholderia multivorans","Bacteria;Proteobacteria;Betaproteobacteria","AU1185","SAMN03449401","PRJNA279182","GCA_001718755.1","Complete",6.62094,66.8762,"chromosome 1:NZ_CP013430.1/CP013430.1; chromosome 2:NZ_CP013431.1/CP013431.1; chromosome 3:NZ_CP013432.1/CP013432.1",,3,5842,"2016-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/755/GCA_001718755.1_ASM171875v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/755/GCF_001718755.1_ASM171875v1"
"Burkholderia multivorans","Bacteria;Proteobacteria;Betaproteobacteria","MSMB1640WGS","SAMN03449689","PRJNA279182","GCA_001718995.1","Complete",6.84536,66.9041,"chromosome 1:NZ_CP013467.1/CP013467.1; chromosome 2:NZ_CP013466.1/CP013466.1; chromosome 3:NZ_CP013468.1/CP013468.1",,3,6008,"2016-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/995/GCA_001718995.1_ASM171899v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/995/GCF_001718995.1_ASM171899v1"
"Burkholderia multivorans","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_722","SAMN11056437","PRJNA231221","GCA_009730195.1","Complete",6.59044,67.0793,"chromosome 1:NZ_CP046344.1/CP046344.1; chromosome 2:NZ_CP046345.1/CP046345.1; chromosome 3:NZ_CP046346.1/CP046346.1",,3,5873,"2019-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/730/195/GCA_009730195.1_ASM973019v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/195/GCF_009730195.1_ASM973019v1"
"Burkholderia multivorans","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_246","SAMN05004755","PRJNA231221","GCA_003019965.1","Complete",6.32286,67.2008,"chromosome 1:NZ_CP020397.1/CP020397.1; chromosome 2:NZ_CP020398.1/CP020398.1; plasmid unnamed:NZ_CP020399.1/CP020399.1",,3,5828,"2018-03-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/965/GCA_003019965.1_ASM301996v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/965/GCF_003019965.1_ASM301996v1"
"Burkholderia multivorans","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_719","SAMN11056434","PRJNA231221","GCA_009730035.1","Complete",6.56565,67.2541,"chromosome 1:NZ_CP046336.1/CP046336.1; chromosome 2:NZ_CP046337.1/CP046337.1; chromosome 3:NZ_CP046338.1/CP046338.1; plasmid unnamed1:NZ_CP046339.1/CP046339.1; plasmid unnamed2:NZ_CP046340.1/CP046340.1",,5,5785,"2019-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/730/035/GCA_009730035.1_ASM973003v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/035/GCF_009730035.1_ASM973003v1"
"Burkholderia multivorans","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_547","SAMN10163240","PRJNA231221","GCA_003812365.1","Complete",6.39408,67.285,"chromosome 1:NZ_CP033748.1/CP033748.1; chromosome 2:NZ_CP033749.1/CP033749.1; chromosome 3:NZ_CP033750.1/CP033750.1",,3,5751,"2018-11-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/365/GCA_003812365.1_ASM381236v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/365/GCF_003812365.1_ASM381236v1"
"Burkholderia multivorans","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_726","SAMN11056441","PRJNA231221","GCA_009730175.1","Complete",6.51869,67.297,"chromosome 1:NZ_CP046341.1/CP046341.1; chromosome 2:NZ_CP046342.1/CP046342.1; chromosome 3:NZ_CP046343.1/CP046343.1",,3,5737,"2019-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/730/175/GCA_009730175.1_ASM973017v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/175/GCF_009730175.1_ASM973017v1"
