#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Burkholderia pseudomallei MSHR2543","Bacteria;Proteobacteria;Betaproteobacteria","MSHR2543","SAMN03074056","PRJNA238257","GCA_000959225.1","Complete",7.44657,67.9014,"chromosome I:NZ_CP009478.1/CP009478.1; chromosome II:NZ_CP009477.1/CP009477.1",,2,6378,"2015-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/225/GCA_000959225.1_ASM95922v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/959/225/GCF_000959225.1_ASM95922v1"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","TSV202","SAMN02951647","PRJNA231208","GCA_000770565.1","Complete",7.81414,67.5125,"chromosome 1:NZ_CP009157.1/CP009155.1; chromosome 2:NZ_CP009156.1/CP009154.1; plasmid 1:NZ_CP009155.1/CP009157.1; plasmid 2:NZ_CP009154.1/CP009154.1",,4,6624,"2014-10-31T13:19:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/565/GCA_000770565.1_ASM77056v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/770/565/GCF_000770565.1_ASM77056v1"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2011756295","SAMN06007566","PRJNA352974","GCA_002110965.1","Complete",7.49832,67.8056,"chromosome 1:NZ_CP018391.1/CP018391.1; chromosome 2:NZ_CP018392.1/CP018392.1",,2,6309,"2017-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/110/965/GCA_002110965.1_ASM211096v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/110/965/GCF_002110965.1_ASM211096v1"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2008724734","SAMN06007561","PRJNA352974","GCA_002110945.1","Complete",7.48239,67.8197,"chromosome 1:NZ_CP018380.1/CP018380.1; chromosome 2:NZ_CP018381.1/CP018381.1",,2,6688,"2017-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/110/945/GCA_002110945.1_ASM211094v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/110/945/GCF_002110945.1_ASM211094v1"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2013746777","SAMN06007569","PRJNA352974","GCA_002111205.1","Complete",7.2705,68.0658,"chromosome 1:NZ_CP018398.1/CP018398.1; chromosome 2:NZ_CP018399.1/CP018399.1",,2,6966,"2017-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/111/205/GCA_002111205.1_ASM211120v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/111/205/GCF_002111205.1_ASM211120v1"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","3000047530","SAMN06007578","PRJNA352974","GCA_002111285.1","Complete",7.43652,67.9055,"chromosome 1:NZ_CP018414.1/CP018414.1; chromosome 2:NZ_CP018415.1/CP018415.1",,2,6374,"2017-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/111/285/GCA_002111285.1_ASM211128v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/111/285/GCF_002111285.1_ASM211128v1"
"Burkholderia pseudomallei PB08298010","Bacteria;Proteobacteria;Betaproteobacteria","PB08298010","SAMN03023795","PRJNA238269","GCA_000959345.1","Complete",7.37555,67.946,"chromosome I:NZ_CP009551.1/CP009551.1; chromosome II:NZ_CP009550.1/CP009550.1",,2,6167,"2015-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/345/GCA_000959345.1_ASM95934v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/959/345/GCF_000959345.1_ASM95934v1"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","3000015486","SAMN06007577","PRJNA352974","GCA_002111385.1","Complete",7.44767,67.9073,"chromosome 1:NZ_CP018412.1/CP018412.1; chromosome 2:NZ_CP018413.1/CP018413.1",,2,7133,"2017-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/111/385/GCA_002111385.1_ASM211138v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/111/385/GCF_002111385.1_ASM211138v1"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2002734728","SAMN06007559","PRJNA352974","GCA_002111105.1","Complete",7.2345,68.069,"chromosome 1:NZ_CP018418.1/CP018418.1; chromosome 2:NZ_CP018419.1/CP018419.1",,2,6391,"2017-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/111/105/GCA_002111105.1_ASM211110v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/111/105/GCF_002111105.1_ASM211110v1"
"Burkholderia pseudomallei Pasteur 52237","Bacteria;Proteobacteria;Betaproteobacteria","Pasteur 52237","SAMN02849712","PRJNA244405","GCA_000757035.2","Complete",7.32532,68.0043,"chromosome 1:NZ_CP009899.1/CP009899.1; chromosome 2:NZ_CP009898.1/CP009898.1",,2,6183,"2015-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/035/GCA_000757035.2_ASM75703v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/035/GCF_000757035.2_ASM75703v2"
