#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Ralstonia solanacearum GMI1000","Bacteria;Proteobacteria;Betaproteobacteria","GMI1000","SAMEA3138192","PRJNA13","GCA_000009125.1","Complete",5.81092,66.964,"chromosome:NC_003295.1/AL646052.1; plasmid pGMI1000MP:NC_003296.1/AL646053.1",,2,4921,"2001-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/125/GCA_000009125.1_ASM912v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/125/GCF_000009125.1_ASM912v1"
"Ralstonia solanacearum FJAT-1458","Bacteria;Proteobacteria;Betaproteobacteria","FJAT-1458","SAMN05392572","PRJNA329182","GCA_001887535.1","Complete",6.0599,66.7685,"chromosome:NZ_CP016554.1/CP016554.1; plasmid plas1:NZ_CP016555.1/CP016555.1",,2,5178,"2016-11-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/535/GCA_001887535.1_ASM188753v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/887/535/GCF_001887535.1_ASM188753v1"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T78","SAMN07430700","PRJNA396777","GCA_003515285.1","Complete",6.14743,66.6981,"chromosome:NZ_CP022765.1/CP022765.1; plasmid pRsT78:NZ_CP022767.1/CP022767.1; plasmid unnamed:NZ_CP022766.1/CP022766.1",,3,5228,"2018-09-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/285/GCA_003515285.1_ASM351528v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/515/285/GCF_003515285.1_ASM351528v1"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","EP1","SAMN03837633","PRJNA288736","GCA_001891105.1","Complete",6.04297,66.7039,"chromosome:NZ_CP015115.1/CP015115.1; plasmid unnamed:NZ_CP015116.1/CP015116.1",,2,5146,"2016-12-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/891/105/GCA_001891105.1_ASM189110v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/891/105/GCF_001891105.1_ASM189110v1"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T60","SAMN07430699","PRJNA396777","GCA_003515545.1","Complete",6.01555,66.8033,"chromosome:NZ_CP022768.1/CP022768.1; plasmid unnamed:NZ_CP022769.1/CP022769.1",,2,5096,"2018-09-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/545/GCA_003515545.1_ASM351554v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/515/545/GCF_003515545.1_ASM351554v1"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","SL3882","SAMN07430693","PRJNA396777","GCA_003515585.1","Complete",6.02587,66.8037,"chromosome:NZ_CP022778.1/CP022778.1; plasmid unnamed:NZ_CP022779.1/CP022779.1",,2,5102,"2018-09-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/585/GCA_003515585.1_ASM351558v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/515/585/GCF_003515585.1_ASM351558v1"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","SEPPX05","SAMN06610220","PRJNA379485","GCA_002162015.1","Complete",5.99693,66.8689,"chromosome:NZ_CP021448.1/CP021448.1; plasmid pSEPPX05:NZ_CP021449.1/CP021449.1",,2,5132,"2017-05-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/162/015/GCA_002162015.1_ASM216201v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/162/015/GCF_002162015.1_ASM216201v1"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","HA4-1","SAMN07311587","PRJNA392775","GCA_003999715.1","Complete",5.98135,66.6799,"chromosome:NZ_CP022481.1/CP022481.1; plasmid HA4-1MP:NZ_CP022482.1/CP022482.1; plasmid pHA4-1:NZ_CP022483.1/CP022483.1",,3,5057,"2019-01-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/999/715/GCA_003999715.1_ASM399971v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/999/715/GCF_003999715.1_ASM399971v1"
"Ralstonia solanacearum FJAT-91","Bacteria;Proteobacteria;Betaproteobacteria","FJAT-91","SAMN02469793","PRJNA329188","GCA_002155245.1","Complete",5.87409,66.8681,"chromosome:NZ_CP016612.1/CP016612.1; plasmid unnamed1:NZ_CP016613.1/CP016613.1",,2,4967,"2017-05-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/155/245/GCA_002155245.1_ASM215524v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/155/245/GCF_002155245.1_ASM215524v1"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","SL3300","SAMN07430689","PRJNA396777","GCA_003515625.1","Complete",5.90391,66.7689,"chromosome:NZ_CP022786.1/CP022786.1; plasmid unnamed:NZ_CP022787.1/CP022787.1",,2,4996,"2018-09-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/625/GCA_003515625.1_ASM351562v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/515/625/GCF_003515625.1_ASM351562v1"
