#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Burkholderia anthina","Bacteria;Proteobacteria;Betaproteobacteria","AZ-4-2-10-S1-D7","SAMN03449213","PRJNA279182","GCA_001547525.1"," Chromosome",7.27305,67.2174,"chromosome 1:NZ_CM003768.1/CM003768.1; chromosome 3:NZ_CM003769.1/CM003769.1","LNJP01",4,6336,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/547/525/GCA_001547525.1_ASM154752v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/525/GCF_001547525.1_ASM154752v1"
"Burkholderia anthina","Bacteria;Proteobacteria;Betaproteobacteria","3723STDY6437370","SAMEA4026937","PRJEB6927","GCA_900631665.1","Contig",8.45216,67.1,,"UZVW01",4,7339,"2018-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/631/665/GCA_900631665.1_3723STDY6437370","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/631/665/GCF_900631665.1_3723STDY6437370"
"Burkholderia anthina","Bacteria;Proteobacteria;Betaproteobacteria","MSMB649WGS","SAMN03449619","PRJNA279182","GCA_001532915.1","Contig",7.27438,67.1,,"LPKM01",74,6375,"2016-01-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/532/915/GCA_001532915.1_ASM153291v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/532/915/GCF_001532915.1_ASM153291v1"
"Burkholderia anthina","Bacteria;Proteobacteria;Betaproteobacteria","MSMB0848","SAMN03449277","PRJNA279182","GCA_001524825.1","Contig",7.5323,67.1,,"LOXU01",63,6641,"2016-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/524/825/GCA_001524825.1_ASM152482v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/524/825/GCF_001524825.1_ASM152482v1"
"Burkholderia anthina","Bacteria;Proteobacteria;Betaproteobacteria","MSMB1496","SAMN03449334","PRJNA279182","GCA_001527785.1","Contig",7.5134,67,,"LOZY01",59,6579,"2016-01-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/527/785/GCA_001527785.1_ASM152778v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/527/785/GCF_001527785.1_ASM152778v1"
"Burkholderia anthina","Bacteria;Proteobacteria;Betaproteobacteria","MSMB1497","SAMN03449324","PRJNA279182","GCA_001527555.1","Contig",7.4073,67.1,,"LOZO01",80,6476,"2016-01-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/527/555/GCA_001527555.1_ASM152755v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/527/555/GCF_001527555.1_ASM152755v1"
"Burkholderia anthina","Bacteria;Proteobacteria;Betaproteobacteria","XXVI","SAMN03839009","PRJNA288828","GCA_002925705.1","Scaffold",7.69299,67,,"LFZP01",100,6775,"2018-02-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/925/705/GCA_002925705.1_ASM292570v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/925/705/GCF_002925705.1_ASM292570v1"
"Burkholderia anthina","Bacteria;Proteobacteria;Betaproteobacteria","MSMB0849","SAMN03449278","PRJNA279182","GCA_001524815.1","Contig",7.3901,67.2,,"LOXV01",64,6479,"2016-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/524/815/GCA_001524815.1_ASM152481v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/524/815/GCF_001524815.1_ASM152481v1"
"Burkholderia anthina","Bacteria;Proteobacteria;Betaproteobacteria","MSMB1506WGS","SAMN03449491","PRJNA279182","GCA_001530695.1","Contig",7.42838,67.1,,"LPFR01",78,6534,"2016-01-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/530/695/GCA_001530695.1_ASM153069v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/530/695/GCF_001530695.1_ASM153069v1"
"Burkholderia anthina","Bacteria;Proteobacteria;Betaproteobacteria","Bp8997","SAMN09073249","PRJNA451205","GCA_003857525.1","Contig",7.20109,67.3,,"QTST01",98,6321,"2018-12-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/857/525/GCA_003857525.1_ASM385752v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/857/525/GCF_003857525.1_ASM385752v1"
"Burkholderia anthina","Bacteria;Proteobacteria;Betaproteobacteria","AZ-4-2-30-S1-D7","SAMN03449214","PRJNA279182","GCA_001523905.1","Contig",7.19508,67.2,,"LOVW01",85,6305,"2016-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/523/905/GCA_001523905.1_ASM152390v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/523/905/GCF_001523905.1_ASM152390v1"
"Burkholderia anthina","Bacteria;Proteobacteria;Betaproteobacteria","Bp9153","SAMN09073393","PRJNA451205","GCA_003854145.1","Contig",7.25467,67.2,,"QTSS01",105,6393,"2018-11-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/854/145/GCA_003854145.1_ASM385414v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/854/145/GCF_003854145.1_ASM385414v1"
