#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Burkholderia cepacia ATCC 25416","Bacteria;Proteobacteria;Betaproteobacteria","UCB 717","SAMN04167160","PRJNA298860","GCA_001411495.1","Complete",8.60595,66.5956,"chromosome 1:NZ_CP012981.1/CP012981.1; chromosome 2:NZ_CP012982.1/CP012982.1; chromosome 3:NZ_CP012983.1/CP012983.1; plasmid pBC25416:NZ_CP012984.1/CP012984.1",,4,7604,"2015-10-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/411/495/GCA_001411495.1_ASM141149v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/411/495/GCF_001411495.1_ASM141149v1"
"Burkholderia cepacia ATCC 25416","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 25416","SAMN10591700","PRJNA509990","GCA_006094315.1","Complete",8.57439,66.5729,"chromosome 1:NZ_CP034553.1/CP034553.1; chromosome 2:NZ_CP034554.1/CP034554.1; chromosome 3:NZ_CP034555.1/CP034555.1; plasmid unnamed1:NZ_CP034556.1/CP034556.1; plasmid unnamed2:NZ_CP034557.1/CP034557.1",,5,7654,"2019-06-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/094/315/GCA_006094315.1_ASM609431v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/094/315/GCF_006094315.1_ASM609431v1"
"Burkholderia cepacia ATCC 25416","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 25416","SAMN02795966","PRJNA244016","GCA_003546465.1","Complete",8.56701,66.5824,"chromosome 1:NZ_CP007746.1/CP007746.1; chromosome 2:NZ_CP007748.1/CP007748.1; chromosome 3:NZ_CP007747.1/CP007747.1; plasmid unnamed:NZ_CP007745.1/CP007745.1",,4,7576,"2014-09-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/546/465/GCA_003546465.1_ASM354646v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/546/465/GCF_003546465.1_ASM354646v1"
"Burkholderia cepacia","Bacteria;Proteobacteria;Betaproteobacteria","LO6","SAMN03486590","PRJNA281467","GCA_000974835.2","Complete",6.41938,67,"chromosome:NZ_CP011301.1/CP011301.1",,1,5565,"2015-04-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/835/GCA_000974835.2_ASM97483v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/835/GCF_000974835.2_ASM97483v2"
"Burkholderia cepacia","Bacteria;Proteobacteria;Betaproteobacteria","INT3-BP177","SAMN03449179","PRJNA279182","GCA_001718395.1","Complete",7.33738,66.8476,"chromosome 1:NZ_CP013375.1/CP013375.1; chromosome 2:NZ_CP013376.1/CP013376.1",,2,6401,"2016-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/395/GCA_001718395.1_ASM171839v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/395/GCF_001718395.1_ASM171839v1"
"Burkholderia cepacia GG4","Bacteria;Proteobacteria;Betaproteobacteria","GG4","SAMN02604072","PRJNA66091","GCA_000292915.1","Complete",6.46732,66.7142,"chromosome 1:NC_018513.1/CP003774.1; chromosome 2:NC_018514.1/CP003775.1",,2,5767,"2012-08-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/915/GCA_000292915.1_ASM29291v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/292/915/GCF_000292915.1_ASM29291v1"
"Burkholderia cepacia","Bacteria;Proteobacteria;Betaproteobacteria","BC16","SAMN12612766","PRJNA561256","GCA_009586235.1","Complete",8.36687,66.7633,"chromosome 1:NZ_CP045235.1/CP045235.1; chromosome 2:NZ_CP045236.1/CP045236.1; chromosome 3:NZ_CP045237.1/CP045237.1",,3,7337,"2019-10-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/586/235/GCA_009586235.1_ASM958623v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/586/235/GCF_009586235.1_ASM958623v1"
"Burkholderia cepacia","Bacteria;Proteobacteria;Betaproteobacteria","MSMB1184WGS","SAMN03449447","PRJNA279182","GCA_001718835.1","Complete",8.00363,66.3698,"chromosome 1:NZ_CP013443.1/CP013443.1; chromosome 2:NZ_CP013444.1/CP013444.1; chromosome 3:NZ_CP013442.1/CP013442.1",,3,6826,"2016-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/835/GCA_001718835.1_ASM171883v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/835/GCF_001718835.1_ASM171883v1"
"Burkholderia cepacia JBK9","Bacteria;Proteobacteria;Betaproteobacteria","JBK9","SAMN02680268","PRJNA217842","GCA_000701165.2","Complete",8.48121,66.8102,"chromosome 1:NZ_CP013730.1/CP013730.1; chromosome 2:NZ_CP013731.1/CP013731.1; chromosome 3:NZ_CP013732.1/CP013732.1",,3,7462,"2016-01-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/701/165/GCA_000701165.2_ASM70116v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/701/165/GCF_000701165.1_ASM70116v2"
"Burkholderia cepacia","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_345","SAMN06173358","PRJNA231221","GCA_002209085.2","Complete",8.56985,66.5819,"chromosome 1:NZ_CP022083.2/CP022083.2; chromosome 2:NZ_CP022084.2/CP022084.2; chromosome 3:NZ_CP022082.2/CP022082.2; plasmid unnamed1:NZ_CP022081.2/CP022081.2",,4,7655,"2017-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/209/085/GCA_002209085.2_ASM220908v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/085/GCF_002209085.2_ASM220908v2"
