#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Burkholderia cenocepacia J2315","Bacteria;Proteobacteria;Betaproteobacteria","J2315","SAMEA1705928","PRJNA339","GCA_000009485.1","Complete",8.05578,66.9165,"chromosome 1:NC_011000.1/AM747720.1; chromosome 2:NC_011001.1/AM747721.1; chromosome 3:NC_011002.1/AM747722.1; plasmid pBCJ2315:NC_011003.1/AM747723.1",,4,7199,"2008-06-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/485/GCA_000009485.1_ASM948v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/485/GCF_000009485.1_ASM948v1"
"Burkholderia cenocepacia","Bacteria;Proteobacteria;Betaproteobacteria","VC7848","SAMN05001925","PRJNA289138","GCA_001999785.1","Complete",7.49946,66.9,"chromosome:NZ_CP019668.1/CP019668.1",,1,6631,"2017-02-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/999/785/GCA_001999785.1_ASM199978v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/785/GCF_001999785.1_ASM199978v1"
"Burkholderia cenocepacia","Bacteria;Proteobacteria;Betaproteobacteria","895","SAMN04574071","PRJNA316047","GCA_001606135.1","Complete",8.73148,66.7356,"chromosome 1:NZ_CP015036.1/CP015036.1; chromosome 2:NZ_CP015037.1/CP015037.1; plasmid pBcp895-1:NZ_CP015038.1/CP015038.1",,3,7784,"2016-04-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/606/135/GCA_001606135.1_ASM160613v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/135/GCF_001606135.1_ASM160613v1"
"Burkholderia cenocepacia","Bacteria;Proteobacteria;Betaproteobacteria","VC12802","SAMN05001933","PRJNA289138","GCA_001999825.1","Complete",7.39491,67.0285,"chromosome 1:NZ_CP019670.1/CP019670.1; chromosome 2:NZ_CP019669.1/CP019669.1",,2,6508,"2017-02-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/999/825/GCA_001999825.1_ASM199982v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/825/GCF_001999825.1_ASM199982v1"
"Burkholderia cenocepacia","Bacteria;Proteobacteria;Betaproteobacteria","FL-5-3-30-S1-D7","SAMN03449242","PRJNA279182","GCA_001718515.1","Complete",6.33075,67.036,"chromosome 1:NZ_CP013397.1/CP013397.1; chromosome 2:NZ_CP013396.1/CP013396.1",,2,5624,"2016-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/515/GCA_001718515.1_ASM171851v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/515/GCF_001718515.1_ASM171851v1"
"Burkholderia cenocepacia MC0-3","Bacteria;Proteobacteria;Betaproteobacteria","MC0-3","SAMN02598404","PRJNA17929","GCA_000019505.1","Complete",7.97139,66.5829,"chromosome 1:NC_010508.1/CP000958.1; chromosome 2:NC_010515.1/CP000959.1; chromosome 3:NC_010512.1/CP000960.1",,3,7031,"2008-03-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/505/GCA_000019505.1_ASM1950v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/505/GCF_000019505.1_ASM1950v1"
"Burkholderia cenocepacia","Bacteria;Proteobacteria;Betaproteobacteria","DDS 22E-1","SAMN02796386","PRJNA244014","GCA_000755725.1","Complete",8.04525,66.9679,"chromosome 1:NZ_CP007783.1/CP007783.1; chromosome 2:NZ_CP007784.1/CP007784.1; chromosome 3:NZ_CP007782.1/CP007782.1",,3,7038,"2014-09-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/725/GCA_000755725.1_ASM75572v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/725/GCF_000755725.1_ASM75572v1"
"Burkholderia cenocepacia","Bacteria;Proteobacteria;Betaproteobacteria","842","SAMN04570263","PRJNA315790","GCA_001606115.1","Complete",8.1497,66.9768,"chromosome 1:NZ_CP015033.1/CP015033.1; chromosome 2:NZ_CP015034.1/CP015034.1; chromosome 3:NZ_CP015035.1/CP015035.1; plasmid pBcn842-1:NZ_CP015032.1/CP015032.1",,4,7156,"2016-04-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/606/115/GCA_001606115.1_ASM160611v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/115/GCF_001606115.1_ASM160611v1"
"Burkholderia cenocepacia H111","Bacteria;Proteobacteria;Betaproteobacteria","H111","SAMEA3138403","PRJNA69823","GCA_000236215.4","Complete",7.71489,67.3149,"chromosome 3:NZ_HG938372.1/HG938372.1; chromosome 1:NZ_HG938370.1/HG938370.1; chromosome 2:NZ_HG938371.1/HG938371.2",,3,6787,"2014-03-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/236/215/GCA_000236215.4_ASM23621v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/215/GCF_000236215.2_ASM23621v4"
"Burkholderia cenocepacia","Bacteria;Proteobacteria;Betaproteobacteria","CR318","SAMN05756084","PRJNA342374","GCA_002007585.1","Complete",7.66489,66.8231,"chromosome 1:NZ_CP017238.1/CP017238.1; chromosome 2:NZ_CP017239.1/CP017239.1; chromosome 3:NZ_CP017240.1/CP017240.1",,3,6755,"2017-02-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/585/GCA_002007585.1_ASM200758v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/585/GCF_002007585.1_ASM200758v1"
